campaign_id,order_id,customer_id,attribution_model,attributed_revenue
CA00010,O00001,C00001,LastTouch,1027.32
CA00046,O00002,C00002,LastTouch,1931.32
CA00053,O00003,C00003,LastTouch,495.35
CA00028,O00004,C00003,LastTouch,364.17
CA00001,O00005,C00003,LastTouch,313.28
CA00013,O00006,C00004,LastTouch,1761.84
CA00024,O00007,C00004,LastTouch,502.26
CA00005,O00008,C00005,LastTouch,2021.90
CA00026,O00009,C00006,LastTouch,773.54
CA00036,O00010,C00007,LastTouch,445.22
CA00001,O00011,C00007,LastTouch,786.28
CA00004,O00012,C00008,LastTouch,4204.66
CA00045,O00013,C00008,LastTouch,1718.46
CA00024,O00014,C00009,LastTouch,1140.86
CA00042,O00015,C00010,LastTouch,2306.83
CA00037,O00016,C00010,LastTouch,585.65
CA00008,O00017,C00011,LastTouch,24.21
CA00045,O00018,C00012,LastTouch,741.30
CA00060,O00019,C00012,LastTouch,5161.17
CA00058,O00020,C00012,LastTouch,234.26
CA00033,O00021,C00013,LastTouch,139.43
CA00019,O00022,C00014,LastTouch,3224.34
CA00025,O00023,C00014,LastTouch,70.81
CA00018,O00024,C00015,LastTouch,388.55
CA00017,O00025,C00016,LastTouch,441.25
CA00017,O00026,C00016,LastTouch,1781.23
CA00023,O00027,C00017,LastTouch,1332.42
CA00049,O00028,C00017,LastTouch,913.92
CA00052,O00029,C00018,LastTouch,1813.19
CA00030,O00030,C00019,LastTouch,538.06
CA00007,O00031,C00019,LastTouch,1406.09
CA00045,O00032,C00020,LastTouch,2026.44
CA00009,O00033,C00020,LastTouch,1562.28
CA00012,O00034,C00020,LastTouch,2386.11
CA00024,O00035,C00021,LastTouch,1769.07
CA00046,O00036,C00022,LastTouch,1667.63
CA00031,O00037,C00023,LastTouch,320.01
CA00010,O00038,C00024,LastTouch,2764.52
CA00003,O00039,C00024,LastTouch,2643.46
CA00030,O00040,C00024,LastTouch,4545.44
CA00031,O00041,C00025,LastTouch,2516.96
CA00049,O00042,C00026,LastTouch,428.86
CA00005,O00043,C00027,LastTouch,5361.61
CA00055,O00044,C00027,LastTouch,562.53
CA00056,O00045,C00028,LastTouch,2275.02
CA00016,O00046,C00028,LastTouch,1370.44
CA00011,O00047,C00028,LastTouch,3867.22
