customer_id,customer_segment,customer_tier,join_date
C00001,Loyal,Silver,2023-01-02
C00002,AtRisk,Gold,2023-01-03
C00003,New,Platinum,2023-01-04
C00004,Loyal,Bronze,2023-01-05
C00005,AtRisk,Silver,2023-01-06
C00006,New,Gold,2023-01-07
C00007,,Platinum,2023-01-08
C00008,AtRisk,Bronze,2023-01-09
C00009,New,Silver,2023-01-10
C00010,Loyal,Gold,2023-01-11
C00011,AtRisk,Platinum,2023-01-12
C00012,New,Bronze,2023-01-13
C00013,Loyal,Silver,2023-01-14
C00014,AtRisk,Gold,2023-01-15
C00015,New,Platinum,2023-01-16
C00016,Loyal,Bronze,2023-01-17
C00017,AtRisk,Silver,2023-01-18
C00018,New,Gold,2023-01-19
C00019,Loyal,Platinum,2023-01-20
C00020,AtRisk,Bronze,2023-01-21
C00021,New,Silver,2023-01-22
C00022,Loyal,Gold,2023-01-23
C00023,AtRisk,Platinum,2023-01-24
C00024,New,Bronze,2023-01-25
C00025,Loyal,Silver,2023-01-26
C00026,AtRisk,Gold,2023-01-27
C00027,New,Platinum,2023-01-28
C00028,Loyal,Bronze,2023-01-29
C00029,AtRisk,Silver,2023-01-30
C00030,New,Gold,2023-01-31
C00031,Loyal,Platinum,2023-02-01
C00032,AtRisk,Bronze,2023-02-02
C00033,New,Silver,2023-02-03
C00034,Loyal,Gold,2023-02-04
C00035,AtRisk,Platinum,2023-02-05
C00036,New,Bronze,2023-02-06
C00037,Loyal,Silver,2023-02-07
C00038,AtRisk,Gold,2023-02-08
C00039,New,Platinum,2023-02-09
C00040,Loyal,Bronze,2023-02-10
C00041,AtRisk,Silver,2023-02-11
C00042,New,Gold,2023-02-12
C00043,Loyal,Platinum,2023-02-13
C00044,AtRisk,Bronze,2023-02-14
C00045,New,Silver,2023-02-15
C00046,Loyal,Gold,2023-02-16
C00047,AtRisk,Platinum,2023-02-17
C00048,New,Bronze,2023-02-18
C00049,Loyal,Silver,2023-02-19
C00050,AtRisk,Gold,2023-02-20
C00051,New,Platinum,2023-02-21
C00052,Loyal,Bronze,2023-02-22
C00053,AtRisk,Silver,2023-02-23
C00054,New,Gold,2023-02-24
C00055,Loyal,Platinum,2023-02-25
C00056,AtRisk,Bronze,2023-02-26
C00057,New,Silver,2023-02-27
C00058,Loyal,Gold,2023-02-28
C00059,AtRisk,Platinum,2023-03-01
C00060,New,Bronze,2023-03-02
C00061,Loyal,Silver,2023-03-03
C00062,AtRisk,Gold,2023-03-04
C00063,New,Platinum,2023-03-05
C00064,Loyal,Bronze,2023-03-06
