snapshot_id,product_id,snapshot_date,on_hand_qty,reserved_qty
S00001,P00001,2026-05-02,23,7
S00002,P00002,2026-05-03,26,9
S00003,P00003,2026-05-04,29,11
S00004,P00004,2026-05-05,32,13
S00005,P00005,2026-05-06,35,15
S00006,P00006,2026-05-07,38,17
S00007,P00007,2026-05-08,41,19
S00008,P00008,2026-05-09,44,21
S00009,P00009,2026-05-10,47,23
S00010,P00010,2026-05-11,50,25
S00011,P00011,2026-05-12,53,27
S00012,P00012,2026-05-13,56,29
S00013,P00013,2026-05-14,59,31
S00014,P00014,2026-05-15,62,33
S00015,P00015,2026-05-16,65,35
S00016,P00016,2026-05-17,68,37
S00017,P00017,2026-05-18,71,39
S00018,P00018,2026-05-19,74,41
S00019,P00019,2026-05-20,77,43
S00020,P00020,2026-05-21,80,45
S00021,P00021,2026-05-22,83,47
S00022,P00022,2026-05-23,86,49
S00023,P00023,2026-05-24,89,51
S00024,P00024,2026-05-25,92,53
S00025,P00025,2026-05-26,95,55
S00026,P00026,2026-05-27,98,57
S00027,P00027,2026-05-28,101,59
S00028,P00028,2026-05-29,104,61
S00029,P00029,2026-05-30,107,63
S00030,P00030,2026-05-31,110,65
S00031,P00031,2026-05-01,113,67
S00032,P00032,2026-05-02,116,69
S00033,P00033,2026-05-03,119,71
S00034,P00034,2026-05-04,122,73
S00035,P00035,2026-05-05,125,75
S00036,P00036,2026-05-06,128,77
S00037,P00037,2026-05-07,131,79
S00038,P00038,2026-05-08,134,81
S00039,P00039,2026-05-09,137,83
S00040,P00040,2026-05-10,140,5
S00041,P00041,2026-05-11,143,7
S00042,P00042,2026-05-12,146,9
S00043,P00043,2026-05-13,149,11
S00044,P00044,2026-05-14,152,13
S00045,P00045,2026-05-15,155,15
S00046,P00046,2026-05-16,158,17
S00047,P00047,2026-05-17,161,19
S00048,P00048,2026-05-18,164,21
S00049,P00049,2026-05-19,167,23
S00050,P00050,2026-05-20,-3,25
S00051,P00051,2026-05-21,173,27
S00052,P00052,2026-05-22,176,29
S00053,P00053,2026-05-23,179,31
S00054,P00054,2026-05-24,182,33
S00055,P00055,2026-05-25,185,35
S00056,P00056,2026-05-26,188,37
S00057,P00057,2026-05-27,191,39
S00058,P00058,2026-05-28,194,41
S00059,P00059,2026-05-29,197,43
S00060,P00060,2026-05-30,200,45
S00061,P00061,2026-05-31,203,47
S00062,P00062,2026-05-01,206,49
S00063,P00063,2026-05-02,209,51
S00064,P00064,2026-05-03,212,53
S00065,P00065,2026-05-04,215,55
