order_id,product_id,quantity,sales_amount
O00001,P00007,2,71.80
O00001,P00020,3,252.00
O00002,P00014,3,185.40
O00002,P00027,1,109.90
O00002,P00040,2,316.00
O00003,P00021,1,87.70
O00004,P00028,2,227.20
O00004,P00041,3,485.10
O00005,P00035,3,418.50
O00005,P00048,1,187.60
O00005,P00061,2,471.40
O00006,P00042,1,165.40
O00007,P00049,2,382.60
O00007,P00062,3,718.20
O00008,P00056,3,651.60
O00008,P00069,1,265.30
O00008,P00082,2,626.80
O00009,P00063,1,243.10
O00010,P00070,2,538.00
O00010,P00083,3,951.30
O00011,P00077,3,884.70
O00011,P00090,1,343.00
O00011,P00103,2,782.20
O00012,P00084,1,320.80
O00013,P00091,2,693.40
O00013,P00104,3,1184.40
O00014,P00098,3,1117.80
O00014,P00111,1,420.70
O00014,P00124,2,937.60
O00015,P00105,1,398.50
O00016,P00112,2,848.80
O00016,P00125,3,1417.50
O00017,P00119,3,1350.90
O00017,P00132,1,498.40
O00017,P00145,2,1093.00
O00018,P00126,1,476.20
O00019,P00133,2,1004.20
O00019,P00146,3,1650.60
O00020,P00140,3,1584.00
O00020,P00153,1,576.10
O00020,P00166,2,1248.40
O00021,P00147,1,553.90
O00022,P00154,2,1159.60
O00022,P00167,3,1883.70
O00023,P00161,3,1817.10
O00023,P00174,1,653.80
O00023,P00187,2,1403.80
O00024,P00168,1,631.60
O00025,P00175,2,1315.00
O00025,P00188,3,2116.80
O00026,P00182,3,2050.20
O00026,P00195,1,731.50
O00026,P00208,2,1559.20
O00027,P00189,1,709.30
O00028,P00196,2,1470.40
O00028,P00209,3,2349.90
O00029,P00203,3,2283.30
O00029,P00216,1,809.20
O00029,P00229,2,1714.60
O00030,P00210,1,787.00
O00031,P00217,2,1625.80
O00031,P00230,3,2583.00
O00032,P00224,3,2516.40
O00032,P00237,1,886.90
O00032,P00250,2,20.00
O00033,P00231,-1,-864.70
O00034,P00238,2,1781.20
O00034,P00251,3,41.10
O00035,P00245,3,2749.50
O00035,P00258,1,39.60
O00035,P00271,2,175.40
O00036,P00252,1,17.40
O00037,P00259,2,86.60
O00037,P00272,3,274.20
O00038,P00266,3,207.60
O00038,P00279,1,117.30
O00038,P00292,2,330.80
O00039,P00273,1,95.10
O00040,P00280,2,242.00
O00040,P00293,3,507.30
O00041,P00287,3,440.70
O00041,P00300,1,195.00
O00041,P00313,2,486.20
O00042,P00294,1,172.80
O00043,P00301,2,397.40
O00043,P00314,3,740.40
O00044,P00308,3,673.80
O00044,P00321,1,272.70
O00044,P00334,2,641.60
O00045,P00315,1,250.50
O00046,P00322,2,552.80
O00046,P00335,3,973.50
O00047,P00329,3,906.90
O00047,P00342,1,350.40
O00047,P00355,2,797.00
O00048,P00336,1,328.20
O00049,P00343,2,708.20
O00049,P00356,3,1206.60
O00050,P00350,3,1140.00
O00050,P00363,1,428.10
O00050,P00376,2,952.40
O00051,P00357,1,405.90
O00052,P00364,2,863.60
O00052,P00377,3,1439.70
O00053,P00371,3,1373.10
O00053,P00384,1,505.80
O00053,P00397,2,1107.80
O00054,P00378,1,483.60
O00055,P00385,2,1019.00
O00055,P00398,3,1672.80
O00056,P00392,3,1606.20
O00056,P00405,1,583.50
O00056,P00418,2,1263.20
O00057,P00399,1,561.30
O00058,P00406,2,1174.40
O00058,P00419,3,1905.90
O00059,P00413,3,1839.30
O00059,P00426,1,661.20
O00059,P00439,2,1418.60
O00060,P00420,1,639.00
O00061,P00427,2,1329.80
O00061,P00440,3,2139.00
O00062,P00434,3,2072.40
O00062,P00447,1,738.90
O00062,P00460,2,1574.00
O00063,P00441,1,716.70
O00064,P00448,2,1485.20
O00064,P00461,3,2372.10
O00065,P00455,3,2305.50
O00065,P00468,1,816.60
O00065,P00481,2,1729.40
O00066,P00462,1,794.40
O00067,P00469,2,1640.60
O00067,P00482,3,2605.20
O00068,P00476,3,2538.60
O00068,P00489,1,894.30
O00068,P00502,2,34.80
O00069,P00483,1,872.10
O00070,P00490,2,1796.00
O00070,P00503,3,63.30
O00071,P00497,3,2771.70
O00071,P00510,1,47.00
O00071,P00523,2,190.20
O00072,P00504,1,24.80
O00073,P00511,2,101.40
O00073,P00524,3,296.40
O00074,P00518,3,229.80
O00074,P00531,1,124.70
O00074,P00544,2,345.60
O00075,P00525,1,102.50
O00076,P00532,2,256.80
O00076,P00545,3,529.50
O00077,P00539,3,462.90
O00077,P00552,1,202.40
O00077,P00565,2,501.00
O00078,P00546,1,180.20
O00079,P00553,2,412.20
O00079,P00566,3,762.60
O00080,P00560,3,696.00
O00080,P00573,1,280.10
O00080,P00586,2,656.40
O00081,P00567,1,257.90
O00082,P00574,2,567.60
O00082,P00587,3,995.70
O00083,P00581,3,929.10
O00083,P00594,1,357.80
O00083,P00607,2,811.80
O00084,P00588,1,335.60
O00085,P00595,2,723.00
O00085,P00608,3,1228.80
O00086,P00602,3,1162.20
O00086,P00615,1,435.50
O00086,P00628,2,967.20
O00087,P00609,1,413.30
O00088,P00616,2,878.40
O00088,P00629,3,1461.90
O00089,P00623,3,1395.30
O00089,P00636,1,513.20
O00089,P00649,2,1122.60
O00090,P00630,1,491.00
O00091,P00637,2,1033.80
O00091,P00650,3,1695.00
O00092,P00644,3,1628.40
O00092,P00657,1,590.90
O00092,P00670,2,1278.00
O00093,P00651,1,568.70
O00094,P00658,2,1189.20
O00094,P00671,3,1928.10
O00095,P00665,3,1861.50
O00095,P00678,1,668.60
O00095,P00691,2,1433.40
O00096,P00672,1,646.40
O00097,P00679,2,1344.60
O00097,P00692,3,2161.20
O00098,P00686,3,2094.60
O00098,P00699,1,746.30
O00098,P00712,2,1588.80
O00099,P00693,1,724.10
O00100,P00700,2,1500.00
O00100,P00713,3,2394.30
O00101,P00707,3,2327.70
O00101,P00720,1,824.00
O00101,P00733,2,1744.20
O00102,P00714,1,801.80
O00103,P00721,2,1655.40
O00103,P00734,3,2627.40
O00104,P00728,3,2560.80
O00104,P00741,1,901.70
O00104,P00754,2,49.60
O00105,P00735,1,879.50
O00106,P00742,2,1810.80
O00106,P00755,3,85.50
O00107,P00749,3,2793.90
O00107,P00762,1,54.40
O00107,P00775,2,205.00
O00108,P00756,1,32.20
O00109,P00763,2,116.20
O00109,P00776,3,318.60
O00110,P00770,3,252.00
O00110,P00783,1,132.10
O00110,P00796,2,360.40
O00111,P00777,1,109.90
O00112,P00784,2,271.60
O00112,P00797,3,551.70
O00113,P00791,3,485.10
O00113,P00804,1,209.80
O00113,P00817,2,515.80
O00114,P00798,1,187.60
