order_id,promotion_id
O00001,PR00720
O00002,PR00034
O00003,PR00517
O00004,PR00938
O00005,PR00073
O00006,PR00058
O00007,PR00099
O00008,PR00488
O00009,PR00680
O00010,PR00185
O00010,PR00273
O00011,PR00696
O00011,PR00188
O00012,PR00797
O00013,PR00494
O00013,PR00114
O00014,PR00540
O00015,PR00648
O00017,PR00581
O00018,PR00272
O00020,PR00454
O00021,PR00739
O00022,PR00674
O00023,PR00311
O00024,PR00635
O00025,PR00919
O00026,PR00853
O00026,PR00201
O00028,PR00991
O00029,PR00431
O00030,PR00641
O00031,PR00053
O00031,PR00525
O00032,PR00177
O00033,PR00019
O00034,PR00383
O00035,PR00816
O00036,PR00341
O00037,PR00712
O00039,PR00684
O00040,PR00758
O00041,PR00400
O00042,PR00133
O00042,PR00225
O00043,PR00902
O00044,PR00681
O00045,PR00258
O00046,PR00582
O00047,PR00875
O00048,PR00942
O00049,PR00575
O00050,PR00311
O00050,PR00919
O00051,PR00806
O00052,PR00995
O00052,PR00143
O00053,PR00376
O00054,PR00952
O00056,PR00468
O00057,PR00736
O00057,PR00868
O00058,PR00703
O00058,PR00495
O00059,PR00173
O00060,PR00325
O00061,PR00196
O00062,PR00692
O00063,PR00221
O00064,PR00710
O00065,PR00896
O00066,PR00371
O00067,PR00023
O00067,PR00127
O00068,PR00967
O00070,PR00273
O00072,PR00620
O00073,PR00122
O00074,PR00600
O00075,PR00998
O00075,PR00170
O00076,PR00218
O00077,PR00781
O00078,PR00349
O00079,PR00393
O00080,PR00546
O00081,PR00141
O00082,PR00102
O00083,PR00971
O00084,PR00536
O00086,PR00921
O00086,PR00489
O00087,PR00623
O00088,PR00897
O00091,PR00637
O00092,PR00266
O00093,PR00309
O00094,PR00797
O00095,PR00883
O00096,PR00185
O00097,PR00014
O00099,PR00314
O00101,PR00291
O00102,PR00277
O00103,PR00074
O00104,PR00134
O00105,PR00108
O00106,PR00515
O00107,PR00005
O00109,PR00456
O00110,PR00664
O00111,PR00148
O00112,PR00226
O00113,PR00508
O00115,PR00026
O00116,PR00796
O00117,PR00553
O00118,PR00933
O00119,PR00586
O00120,PR00145
O00121,PR00692
O00121,PR00096
O00122,PR00236
O00123,PR00913
O00124,PR00714
O00125,PR00797
O00126,PR00921
O00127,PR00059
O00128,PR00648
O00128,PR00928
O00129,PR00311
O00129,PR00095
O00130,PR00579
O00131,PR00361
O00132,PR00994
O00133,PR00049
O00134,PR00248
O00135,PR00481
O00136,PR00195
O00137,PR00034
O00137,PR00194
O00138,PR00755
O00138,PR00055
O00140,PR00375
O00141,PR00790
O00141,PR00854
O00143,PR00522
O00144,PR00282
O00146,PR00450
O00146,PR00798
O00147,PR00008
O00148,PR00819
O00148,PR00255
O00151,PR00946
O00152,PR00908
O00155,PR00093
O00156,PR00561
O00157,PR00019
O00158,PR00950
O00158,PR00214
O00159,PR00946
O00160,PR00183
O00161,PR00982
O00162,PR00258
O00164,PR00566
O00166,PR00653
O00167,PR00894
O00168,PR00394
O00168,PR00682
O00169,PR00929
O00170,PR00654
O00171,PR00345
O00173,PR00370
O00174,PR00698
O00176,PR00319
O00177,PR00754
O00178,PR00426
O00179,PR00837
O00180,PR00816
O00181,PR00995
O00182,PR00844
O00182,PR00876
O00183,PR00855
O00184,PR00446
O00185,PR00843
O00186,PR00638
O00187,PR00066
O00188,PR00472
O00189,PR00567
O00191,PR00535
O00192,PR00591
O00194,PR00835
O00197,PR00348
O00197,PR00420
O00198,PR00169
O00200,PR00507
O00201,PR00312
O00202,PR00518
O00202,PR00646
O00203,PR00815
O00205,PR00656
O00206,PR00277
O00207,PR00646
O00208,PR00063
O00208,PR00503
O00209,PR00591
O00210,PR00921
O00213,PR00712
O00215,PR00834
O00216,PR00236
O00217,PR00666
O00217,PR00314
O00218,PR00939
O00219,PR00980
O00220,PR00737
O00221,PR00216
O00222,PR00590
O00222,PR00298
O00224,PR00670
O00225,PR00382
O00226,PR00974
O00227,PR00992
O00228,PR00616
O00230,PR00252
O00231,PR00878
O00232,PR00061
O00233,PR00591
O00234,PR00811
O00234,PR00867
O00235,PR00706
O00236,PR00124
O00236,PR00488
O00237,PR00809
O00237,PR00657
O00239,PR00284
O00240,PR00764
O00240,PR00736
O00241,PR00276
O00242,PR00344
O00243,PR00819
O00244,PR00159
O00245,PR00055
O00246,PR00123
O00247,PR00857
O00249,PR00273
O00250,PR00975
O00251,PR00257
O00253,PR00994
O00254,PR00755
O00258,PR00749
O00259,PR00099
O00260,PR00229
O00261,PR00070
O00262,PR00256
O00263,PR00908
O00264,PR00073
O00265,PR00586
O00266,PR00473
O00266,PR00153
O00268,PR00174
O00269,PR00224
O00270,PR00572
O00273,PR00401
O00275,PR00888
O00276,PR00574
O00277,PR00439
O00277,PR00319
O00278,PR00151
O00280,PR00755
O00281,PR00713
O00282,PR00174
O00283,PR00366
O00284,PR00729
O00285,PR00593
O00285,PR00145
O00287,PR00026
O00288,PR00978
O00290,PR00188
O00291,PR00008
O00292,PR00265
O00293,PR00694
O00294,PR00159
O00295,PR00126
O00297,PR00949
O00298,PR00002
O00299,PR00285
O00300,PR00315
O00301,PR00292
O00302,PR00537
O00303,PR00246
O00304,PR00525
O00305,PR00876
O00306,PR00684
