order_id,customer_id,channel_id,order_date,order_status,gross_amount,discount_applied,net_amount,order_value,currency
O00001,C00001,CH0003,2026-06-09,Completed,1323.44,296.12,1027.32,1027.32,KRW
O00002,C00002,CH0004,2026-06-05,Completed,2048.63,117.31,1931.32,1931.32,KRW
O00003,C00003,CH0002,2026-06-10,Completed,555.27,59.92,495.35,495.35,KRW
O00004,C00003,CH0004,2026-06-02,Completed,384.46,20.29,364.17,364.17,KRW
O00005,C00003,CH0004,2026-06-24,Completed,342.75,29.47,313.28,313.28,KRW
O00006,C00004,CH0001,2026-06-07,Completed,1856.19,94.35,1761.84,1761.84,KRW
O00007,C00004,CH0002,2026-06-27,Completed,612.12,99.86,512.26,512.26,KRW
O00008,C00005,CH0003,2026-06-05,Completed,2571.33,549.43,2021.90,2021.90,KRW
O00009,C00006,CH0004,2026-06-28,Completed,1041.04,267.50,773.54,773.54,KRW
O00010,C00007,CH0001,2026-05-29,Completed,490.68,45.46,445.22,445.22,KRW
O00011,C00007,CH0002,2026-06-21,Completed,1071.00,284.72,786.28,786.28,KRW
O00012,C00008,CH0003,2026-06-02,Completed,4612.73,408.07,4204.66,4204.66,KRW
O00013,C00008,CH0003,,Completed,1812.31,93.85,1718.46,1718.46,KRW
O00014,C00009,CH0002,2026-06-21,Completed,1577.04,436.18,1140.86,1140.86,KRW
O00015,C00010,CH0004,2026-05-19,Completed,3168.84,862.01,2306.83,2306.83,KRW
O00016,C00010,CH0003,2026-05-16,Completed,588.14,2.49,585.65,585.65,KRW
O00017,C00011,CH0003,2026-06-16,Completed,27.15,2.94,24.21,24.21,KRW
O00018,C00012,CH0003,2026-05-19,Completed,949.02,207.72,741.30,741.30,KRW
O00019,C00012,CH0003,2026-05-09,Completed,5192.21,31.04,5161.17,5161.17,KRW
O00020,C00012,CH0004,2026-06-06,Completed,246.52,12.26,234.26,234.26,KRW
O00021,C00013,CH0004,2026-06-20,Completed,163.38,23.95,139.43,139.43,KRW
