product_id,product_name,category,unit_price,currency
P00001,UltraBook 15,Electronics,13.70,KRW
P00002,DailyTee Cotton,Fashion,17.40,KRW
P00003,ComfyChair Home,Home,21.10,KRW
P00004,Sports Item 00004,Sports,24.80,KRW
P00005,AeroPhone X,Electronics,28.50,KRW
P00006,SmartWatch Pro,Electronics,32.20,KRW
P00007,Fashion Item 00007,Fashion,35.90,KRW
P00008,Home Item 00008,Home,39.60,KRW
P00009,Beauty Item 00009,Beauty,43.30,KRW
P00010,Sports Item 00010,Sports,47.00,KRW
P00011,Grocery Item 00011,Grocery,50.70,KRW
P00012,Electronics Item 00012,Electronics,54.40,KRW
P00013,Fashion Item 00013,Fashion,58.10,KRW
P00014,Home Item 00014,Home,61.80,KRW
P00015,Beauty Item 00015,Beauty,65.50,KRW
P00016,Sports Item 00016,Sports,69.20,KRW
P00017,Grocery Item 00017,Grocery,72.90,KRW
P00018,Electronics Item 00018,Electronics,76.60,KRW
P00019,Fashion Item 00019,Fashion,80.30,KRW
P00020,Home Item 00020,Home,84.00,KRW
P00021,Beauty Item 00021,Beauty,87.70,KRW
P00022,Sports Item 00022,Sports,91.40,KRW
P00023,Grocery Item 00023,Grocery,95.10,KRW
P00024,Electronics Item 00024,Electronics,98.80,KRW
P00025,Fashion Item 00025,Fashion,102.50,KRW
P00026,Home Item 00026,Home,106.20,KRW
P00027,Beauty Item 00027,Beauty,109.90,KRW
P00028,Sports Item 00028,Sports,113.60,KRW
P00029,Grocery Item 00029,Grocery,117.30,KRW
P00030,Electronics Item 00030,Electronics,121.00,KRW
P00031,Fashion Item 00031,Fashion,124.70,KRW
P00032,Home Item 00032,Home,128.40,KRW
P00033,Beauty Item 00033,Beauty,132.10,KRW
P00034,Sports Item 00034,Sports,135.80,KRW
P00035,Grocery Item 00035,Grocery,139.50,KRW
P00036,Electronics Item 00036,Electronics,143.20,KRW
P00037,Fashion Item 00037,Fashion,146.90,KRW
P00038,Home Item 00038,Home,150.60,KRW
P00039,Beauty Item 00039,Beauty,154.30,KRW
P00040,Sports Item 00040,Sports,158.00,KRW
P00041,Grocery Item 00041,Grocery,161.70,KRW
P00042,Electronics Item 00042,Electronics,165.40,KRW
P00043,Fashion Item 00043,Fashion,169.10,KRW
P00044,Home Item 00044,Home,172.80,KRW
P00045,Beauty Item 00045,Beauty,176.50,KRW
P00046,Sports Item 00046,Sports,180.20,KRW
P00047,Grocery Item 00047,Grocery,183.90,KRW
P00048,Electronics Item 00048,Electronics,187.60,KRW
P00049,Fashion Item 00049,Fashion,191.30,KRW
P00050,Home Item 00050,Home,0.00,KRW
P00051,Beauty Item 00051,Beauty,198.70,KRW
P00052,Sports Item 00052,Sports,202.40,KRW
P00053,Grocery Item 00053,Grocery,206.10,KRW
P00054,Electronics Item 00054,Electronics,209.80,KRW
P00055,Fashion Item 00055,Fashion,213.50,KRW
P00056,Home Item 00056,Home,217.20,KRW
P00057,Beauty Item 00057,Beauty,220.90,KRW
P00058,Sports Item 00058,Sports,224.60,KRW
P00059,Grocery Item 00059,Grocery,228.30,KRW
P00060,Electronics Item 00060,Electronics,232.00,KRW
P00061,Fashion Item 00061,Fashion,235.70,KRW
P00062,Home Item 00062,Home,239.40,KRW
P00063,Beauty Item 00063,Beauty,243.10,KRW
P00064,Sports Item 00064,Sports,246.80,KRW
P00065,Grocery Item 00065,Grocery,250.50,KRW
P00066,Electronics Item 00066,Electronics,254.20,KRW
P00067,Fashion Item 00067,Fashion,257.90,KRW
P00068,Home Item 00068,Home,261.60,KRW
P00069,Beauty Item 00069,Beauty,265.30,KRW
