promotion_id,promotion_name,promotion_type,discount_amount,start_date,end_date
PR00001,Amount Promo 00001,Amount,36.42,2026-01-02,2026-02-01
PR00002,Bundle Promo 00002,Bundle,33.87,2026-01-03,2026-02-02
PR00003,BOGO Promo 00003,BOGO,5.96,2026-01-04,2026-02-03
PR00004,Percent Promo 00004,Percent,38.80,2026-01-05,2026-02-04
PR00005,Amount Promo 00005,Amount,12.07,2026-01-06,2026-02-05
PR00006,Bundle Promo 00006,Bundle,5.93,2026-01-07,2026-02-06
PR00007,BOGO Promo 00007,BOGO,31.65,2026-01-08,2026-02-07
PR00008,Percent Promo 00008,Percent,16.36,2026-01-09,2026-02-08
PR00009,Amount Promo 00009,Amount,32.02,2026-01-10,2026-02-09
PR00010,Bundle Promo 00010,Bundle,26.74,2026-01-11,2026-02-10
PR00011,BOGO Promo 00011,BOGO,17.42,2026-01-12,2026-02-11
PR00012,Percent Promo 00012,Percent,6.88,2026-01-13,2026-02-12
PR00013,Amount Promo 00013,Amount,29.12,2026-01-14,2026-02-13
PR00014,Bundle Promo 00014,Bundle,16.77,2026-01-15,2026-02-14
PR00015,BOGO Promo 00015,BOGO,19.20,2026-01-16,2026-02-15
PR00016,Percent Promo 00016,Percent,33.75,2026-01-17,2026-02-16
PR00017,Amount Promo 00017,Amount,26.22,2026-01-18,2026-02-17
PR00018,Bundle Promo 00018,Bundle,6.22,2026-01-19,2026-02-18
PR00019,BOGO Promo 00019,BOGO,22.07,2026-01-20,2026-02-19
PR00020,Percent Promo 00020,Percent,9.33,2026-01-21,2026-02-20
PR00021,Amount Promo 00021,Amount,37.86,2026-01-22,2026-02-21
PR00022,Bundle Promo 00022,Bundle,16.95,2026-01-23,2026-02-22
PR00023,BOGO Promo 00023,BOGO,28.21,2026-01-24,2026-02-23
PR00024,Percent Promo 00024,Percent,18.42,2026-01-25,2026-02-24
PR00025,Amount Promo 00025,Amount,16.95,2026-01-26,2026-02-25
PR00026,Bundle Promo 00026,Bundle,22.21,2026-01-27,2026-02-26
PR00027,BOGO Promo 00027,BOGO,10.74,2026-01-28,2026-02-27
PR00028,Percent Promo 00028,Percent,23.18,2026-01-29,2026-02-28
PR00029,Amount Promo 00029,Amount,14.15,2026-01-30,2026-03-01
PR00030,Bundle Promo 00030,Bundle,6.19,2026-01-31,2026-03-02
PR00031,BOGO Promo 00031,BOGO,10.71,2026-02-01,2026-03-03
PR00032,Percent Promo 00032,Percent,18.35,2026-02-02,2026-03-04
PR00033,Amount Promo 00033,Amount,21.28,2026-02-03,2026-03-05
PR00034,Bundle Promo 00034,Bundle,29.06,2026-02-04,2026-03-06
PR00035,BOGO Promo 00035,BOGO,33.47,2026-02-05,2026-03-07
PR00036,Percent Promo 00036,Percent,33.72,2026-02-06,2026-03-08
PR00037,Amount Promo 00037,Amount,13.90,2026-02-07,2026-03-09
PR00038,Bundle Promo 00038,Bundle,11.70,2026-02-08,2026-03-10
PR00039,BOGO Promo 00039,BOGO,5.68,2026-02-09,2026-03-11
PR00040,Percent Promo 00040,Percent,33.64,2026-02-10,2026-03-12
PR00041,Amount Promo 00041,Amount,8.95,2026-02-11,2026-03-13
PR00042,Bundle Promo 00042,Bundle,24.80,2026-02-12,2026-03-14
PR00043,BOGO Promo 00043,BOGO,8.71,2026-02-13,2026-03-15
PR00044,Percent Promo 00044,Percent,12.42,2026-02-14,2026-03-16
PR00045,Amount Promo 00045,Amount,16.56,2026-02-15,2026-03-17
PR00046,Bundle Promo 00046,Bundle,17.28,2026-02-16,2026-03-18
PR00047,BOGO Promo 00047,BOGO,38.97,2026-02-17,2026-03-19
PR00048,Percent Promo 00048,Percent,36.69,2026-02-18,2026-03-20
PR00049,Amount Promo 00049,Amount,14.93,2026-02-19,2026-03-21
PR00050,INVALID Test Promo,Bundle,-5.00,2026-02-20,2026-03-22
PR00051,BOGO Promo 00051,BOGO,38.98,2026-02-21,2026-03-23
PR00052,Percent Promo 00052,Percent,22.95,2026-02-22,2026-03-24
PR00053,Amount Promo 00053,Amount,11.99,2026-02-23,2026-03-25
PR00054,Bundle Promo 00054,Bundle,26.49,2026-02-24,2026-03-26
PR00055,BOGO Promo 00055,BOGO,21.34,2026-02-25,2026-03-27
PR00056,Percent Promo 00056,Percent,29.55,2026-02-26,2026-03-28
PR00057,Amount Promo 00057,Amount,37.69,2026-02-27,2026-03-29
PR00058,Bundle Promo 00058,Bundle,23.21,2026-02-28,2026-03-30
PR00059,BOGO Promo 00059,BOGO,16.02,2026-03-01,2026-03-31
PR00060,Percent Promo 00060,Percent,24.60,2026-03-02,2026-04-01
