shipment_id,order_id,shipment_status,delivered_at
SH00001,O00001,InTransit,
SH00002,O00002,Delivered,2026-06-07T10:00:00+09:00
SH00003,O00003,InTransit,
SH00004,O00004,Delayed,2026-06-05T09:00:00+09:00
SH00005,O00005,InTransit,
SH00006,O00006,Delayed,2026-06-10T11:00:00+09:00
SH00007,O00007,Delivered,2026-07-03T11:00:00+09:00
SH00008,O00008,Delayed,2026-06-07T11:00:00+09:00
SH00009,O00009,Delayed,2026-07-01T04:00:00+09:00
SH00010,O00010,InTransit,
SH00011,O00011,Delivered,2026-06-23T04:00:00+09:00
SH00012,O00012,Delayed,2026-06-08T12:00:00+09:00
SH00013,O00013,InTransit,
SH00014,O00014,InTransit,
SH00015,O00015,Delivered,2026-05-23T10:00:00+09:00
SH00016,O00016,InTransit,
SH00017,O00017,Delivered,2026-06-17T03:00:00+09:00
SH00018,O00018,InTransit,
SH00019,O00019,Delivered,2026-05-12T03:00:00+09:00
SH00020,O00020,Delivered,2026-06-07T07:00:00+09:00
SH00021,O00021,Delayed,2026-06-21T11:00:00+09:00
SH00022,O00022,InTransit,
SH00023,O00023,Delivered,2026-06-12T05:00:00+09:00
SH00024,O00024,Delayed,2026-05-08T11:00:00+09:00
SH00025,O00025,Delayed,2026-05-11T10:00:00+09:00
SH00026,O00026,InTransit,
SH00027,O00027,Delivered,2026-06-10T02:00:00+09:00
SH00028,O00028,InTransit,
SH00029,O00029,InTransit,
SH00030,O00030,InTransit,
SH00031,O00031,InTransit,
SH00032,O00032,Delayed,2026-05-27T00:00:00+09:00
SH00033,O00033,Delivered,2026-05-19T02:00:00+09:00
SH00034,O00034,Delayed,2026-05-14T04:00:00+09:00
SH00035,O00035,Delivered,2026-06-23T04:00:00+09:00
SH00036,O00036,InTransit,
SH00037,O00037,Delivered,2026-06-25T00:00:00+09:00
SH00038,O00038,Delayed,2026-05-14T05:00:00+09:00
SH00039,O00039,Delivered,2026-05-13T02:00:00+09:00
SH00040,O00040,InTransit,
SH00041,O00041,Delayed,2026-05-30T00:00:00+09:00
SH00042,O00042,Delivered,2026-06-24T12:00:00+09:00
SH00043,O00043,InTransit,
SH00044,O00044,Delayed,2026-05-29T02:00:00+09:00
SH00045,O00045,Delivered,2026-05-22T01:00:00+09:00
SH00046,O00046,Delayed,2026-06-09T08:00:00+09:00
SH00047,O00047,Delayed,2026-05-19T06:00:00+09:00
SH00048,O00048,InTransit,
SH00049,O00049,InTransit,
SH00050,O00050,InTransit,
SH00051,O00051,Delivered,2026-06-20T07:00:00+09:00
SH00052,O00052,InTransit,
SH00053,O00053,Delivered,2026-05-11T03:00:00+09:00
SH00054,O00054,InTransit,
SH00055,O00055,Delivered,2026-05-15T09:00:00+09:00
SH00056,O00056,Delivered,2026-05-26T06:00:00+09:00
SH00057,O00057,InTransit,
SH00058,O00058,Delivered,2026-05-07T09:00:00+09:00
SH00059,O00059,Delivered,2026-05-12T00:00:00+09:00
SH00060,O00060,InTransit,
SH00061,O00061,Delivered,2026-05-26T01:00:00+09:00
SH00062,O00062,InTransit,
SH00063,O00063,Delayed,2026-05-13T03:00:00+09:00
SH00064,O00064,Delivered,2026-06-22T12:00:00+09:00
SH00065,O00065,InTransit,
SH00066,O00066,InTransit,
SH00067,O00067,Delivered,2026-06-12T07:00:00+09:00
SH00068,O00068,Delivered,2026-05-22T08:00:00+09:00
SH00069,O00069,Delivered,2026-05-08T12:00:00+09:00
SH00070,O00070,Delivered,2026-06-20T05:00:00+09:00
SH00071,O00071,Delayed,2026-06-23T00:00:00+09:00
SH00072,O00072,Delivered,2026-05-14T03:00:00+09:00
SH00073,O00073,Delayed,2026-07-01T10:00:00+09:00
SH00074,O00074,Delivered,2026-05-25T03:00:00+09:00
SH00075,O00075,Delivered,2026-05-11T10:00:00+09:00
SH00076,O00076,InTransit,
SH00077,O00077,Delayed,2026-06-07T08:00:00+09:00
SH00078,O00078,Delayed,2026-06-19T01:00:00+09:00
SH00079,O00079,InTransit,
SH00080,O00080,Delivered,2026-05-24T11:00:00+09:00
SH00081,O00081,Delayed,2026-06-19T01:00:00+09:00
SH00082,O00082,Delayed,2026-06-13T03:00:00+09:00
SH00083,O00083,Delayed,2026-07-02T11:00:00+09:00
SH00084,O00084,Delayed,2026-05-10T04:00:00+09:00
SH00085,O00085,Delayed,2026-06-22T05:00:00+09:00
SH00086,O00086,InTransit,
SH00087,O00087,Delivered,2026-05-07T11:00:00+09:00
SH00088,O00088,Delivered,2026-06-07T12:00:00+09:00
SH00089,O00089,Delayed,2026-06-06T03:00:00+09:00
SH00090,O00090,Delayed,2026-06-05T10:00:00+09:00
SH00091,O00091,Delivered,2026-06-05T07:00:00+09:00
SH00092,O00092,Delivered,2026-05-27T08:00:00+09:00
SH00093,O00093,Delayed,2026-06-04T04:00:00+09:00
SH00094,O00094,Delayed,2026-05-22T11:00:00+09:00
SH00095,O00095,Delivered,2026-05-21T10:00:00+09:00
SH00096,O00096,Delayed,2026-05-18T03:00:00+09:00
SH00097,O00097,Delivered,2026-05-23T08:00:00+09:00
SH00098,O00098,InTransit,
SH00099,O00099,Delivered,2026-05-22T06:00:00+09:00
SH00100,O00100,Delayed,2026-06-01T07:00:00+09:00
SH00101,O00101,Delayed,2026-06-06T09:00:00+09:00
SH00102,O00102,Delayed,2026-07-01T02:00:00+09:00
SH00103,O00103,InTransit,
SH00104,O00104,Delayed,2026-05-18T01:00:00+09:00
SH00105,O00105,InTransit,
SH00106,O00106,InTransit,
SH00107,O00107,Delayed,2026-06-05T01:00:00+09:00
SH00108,O00108,InTransit,
SH00109,O00109,Delivered,2026-05-08T02:00:00+09:00
SH00110,O00110,InTransit,
SH00111,O00111,Delivered,2026-06-19T11:00:00+09:00
SH00112,O00112,Delivered,2026-06-04T12:00:00+09:00
SH00113,O00113,Delivered,2026-06-16T06:00:00+09:00
SH00114,O00114,Delivered,2026-05-18T11:00:00+09:00
SH00115,O00115,Delayed,2026-05-07T07:00:00+09:00
SH00116,O00116,InTransit,
SH00117,O00117,InTransit,
SH00118,O00118,Delivered,2026-05-20T07:00:00+09:00
SH00119,O00119,InTransit,
SH00120,O00120,Delivered,2026-06-19T02:00:00+09:00
SH00121,O00121,Delayed,2026-06-19T11:00:00+09:00
SH00122,O00122,Delivered,2026-06-04T08:00:00+09:00
SH00123,O00123,Delivered,2026-06-27T11:00:00+09:00
SH00124,O00124,Delivered,2026-06-03T12:00:00+09:00
SH00125,O00125,InTransit,
SH00126,O00126,Delivered,2026-06-17T03:00:00+09:00
SH00127,O00127,Delayed,2026-05-25T02:00:00+09:00
SH00128,O00128,InTransit,
SH00129,O00129,Delayed,2026-06-11T06:00:00+09:00
SH00130,O00130,Delayed,2026-05-09T07:00:00+09:00
SH00131,O00131,Delivered,2026-05-26T01:00:00+09:00
SH00132,O00132,Delayed,2026-05-22T06:00:00+09:00
SH00133,O00133,Delayed,2026-06-09T02:00:00+09:00
SH00134,O00134,Delayed,2026-06-01T02:00:00+09:00
SH00135,O00135,InTransit,
SH00136,O00136,Delayed,2026-05-15T08:00:00+09:00
SH00137,O00137,Delivered,2026-06-28T01:00:00+09:00
SH00138,O00138,Delayed,2026-06-30T03:00:00+09:00
SH00139,O00139,Delivered,2026-07-01T08:00:00+09:00
SH00140,O00140,Delayed,2026-05-23T02:00:00+09:00
SH00141,O00141,InTransit,
SH00142,O00142,Delivered,2026-05-24T07:00:00+09:00
SH00143,O00143,Delayed,2026-05-09T00:00:00+09:00
SH00144,O00144,Delayed,2026-06-24T02:00:00+09:00
SH00145,O00145,InTransit,
SH00146,O00146,Delivered,2026-06-17T10:00:00+09:00
SH00147,O00147,InTransit,
SH00148,O00148,Delayed,2026-05-05T12:00:00+09:00
SH00149,O00149,Delayed,2026-05-06T01:00:00+09:00
SH00150,O00150,Delivered,2026-06-21T10:00:00+09:00
SH00151,O00151,InTransit,
SH00152,O00152,Delivered,2026-05-22T12:00:00+09:00
SH00153,O00153,Delivered,2026-05-03T11:00:00+09:00
SH00154,O00154,Delivered,2026-06-17T05:00:00+09:00
SH00155,O00155,Delayed,2026-07-04T01:00:00+09:00
SH00156,O00156,Delayed,2026-06-13T00:00:00+09:00
SH00157,O00157,InTransit,
SH00158,O00158,Delivered,2026-06-05T10:00:00+09:00
SH00159,O00159,Delayed,2026-06-01T08:00:00+09:00
SH00160,O00160,Delivered,2026-06-05T01:00:00+09:00
SH00161,O00161,InTransit,
SH00162,O00162,Delivered,2026-05-21T05:00:00+09:00
SH00163,O00163,Delayed,2026-05-30T11:00:00+09:00
SH00164,O00164,Delivered,2026-06-14T04:00:00+09:00
SH00165,O00165,Delayed,2026-05-16T10:00:00+09:00
SH00166,O00166,Delivered,2026-05-02T08:00:00+09:00
SH00167,O00167,InTransit,
SH00168,O00168,Delivered,2026-06-05T06:00:00+09:00
SH00169,O00169,Delivered,2026-06-16T09:00:00+09:00
SH00170,O00170,Delayed,2026-05-26T05:00:00+09:00
SH00171,O00171,Delivered,2026-06-08T10:00:00+09:00
SH00172,O00172,InTransit,
SH00173,O00173,InTransit,
SH00174,O00174,Delivered,2026-05-13T01:00:00+09:00
SH00175,O00175,InTransit,
SH00176,O00176,Delayed,2026-05-07T12:00:00+09:00
SH00177,O00177,InTransit,
SH00178,O00178,Delayed,2026-06-09T03:00:00+09:00
SH00179,O00179,InTransit,
SH00180,O00180,Delayed,2026-06-17T02:00:00+09:00
SH00181,O00181,Delayed,2026-06-14T02:00:00+09:00
SH00182,O00182,InTransit,
SH00183,O00183,Delivered,2026-06-17T03:00:00+09:00
SH00184,O00184,Delayed,2026-05-26T02:00:00+09:00
SH00185,O00185,Delivered,2026-05-21T07:00:00+09:00
SH00186,O00186,Delayed,2026-06-15T12:00:00+09:00
SH00187,O00187,Delayed,2026-05-08T08:00:00+09:00
SH00188,O00188,Delayed,2026-07-01T10:00:00+09:00
SH00189,O00189,Delivered,2026-06-19T03:00:00+09:00
SH00190,O00190,Delivered,2026-05-06T12:00:00+09:00
SH00191,O00191,Delayed,2026-05-07T07:00:00+09:00
SH00192,O00192,Delivered,2026-05-14T01:00:00+09:00
SH00193,O00193,Delivered,2026-06-29T03:00:00+09:00
SH00194,O00194,Delivered,2026-06-16T05:00:00+09:00
SH00195,O00195,Delivered,2026-05-24T04:00:00+09:00
SH00196,O00196,Delivered,2026-05-27T10:00:00+09:00
SH00197,O00197,Delayed,2026-05-17T08:00:00+09:00
SH00198,O00198,Delayed,2026-05-27T05:00:00+09:00
SH00199,O00199,Delivered,2026-06-29T06:00:00+09:00
SH00200,O00200,InTransit,
SH00201,O00201,Delivered,2026-05-25T07:00:00+09:00
SH00202,O00202,InTransit,
SH00203,O00203,Delivered,2026-06-06T10:00:00+09:00
SH00204,O00204,InTransit,
SH00205,O00205,Delivered,2026-06-27T00:00:00+09:00
SH00206,O00206,InTransit,
SH00207,O00207,InTransit,
SH00208,O00208,Delivered,2026-05-27T10:00:00+09:00
SH00209,O00209,Delivered,2026-05-07T02:00:00+09:00
SH00210,O00210,InTransit,
SH00211,O00211,InTransit,
SH00212,O00212,Delayed,2026-06-17T07:00:00+09:00
SH00213,O00213,Delivered,2026-05-12T03:00:00+09:00
SH00214,O00214,InTransit,
SH00215,O00215,Delayed,2026-05-08T11:00:00+09:00
SH00216,O00216,Delivered,2026-06-24T03:00:00+09:00
SH00217,O00217,Delivered,2026-05-31T05:00:00+09:00
SH00218,O00218,Delivered,2026-07-03T09:00:00+09:00
SH00219,O00219,Delivered,2026-06-28T06:00:00+09:00
SH00220,O00220,Delivered,2026-05-12T01:00:00+09:00
SH00221,O00221,InTransit,
SH00222,O00222,Delivered,2026-05-09T09:00:00+09:00
SH00223,O00223,InTransit,
SH00224,O00224,InTransit,
SH00225,O00225,InTransit,
SH00226,O00226,Delayed,2026-05-23T07:00:00+09:00
SH00227,O00227,Delivered,2026-06-10T07:00:00+09:00
SH00228,O00228,InTransit,
SH00229,O00229,Delivered,2026-05-22T00:00:00+09:00
SH00230,O00230,InTransit,
SH00231,O00231,Delivered,2026-07-01T04:00:00+09:00
SH00232,O00232,InTransit,
SH00233,O00233,Delivered,2026-06-21T04:00:00+09:00
SH00234,O00234,Delivered,2026-06-21T08:00:00+09:00
SH00235,O00235,Delivered,2026-05-25T00:00:00+09:00
SH00236,O00236,Delayed,2026-06-22T08:00:00+09:00
SH00237,O00237,Delivered,2026-05-17T02:00:00+09:00
SH00238,O00238,Delivered,2026-06-24T01:00:00+09:00
SH00239,O00239,InTransit,
SH00240,O00240,InTransit,
SH00241,O00241,Delayed,2026-06-08T03:00:00+09:00
SH00242,O00242,InTransit,
SH00243,O00243,InTransit,
SH00244,O00244,InTransit,
SH00245,O00245,InTransit,
SH00246,O00246,Delayed,2026-05-23T04:00:00+09:00
SH00247,O00247,Delivered,2026-06-11T08:00:00+09:00
SH00248,O00248,Delayed,2026-05-06T04:00:00+09:00
SH00249,O00249,InTransit,
SH00250,O00250,Delivered,2026-05-28T11:00:00+09:00
SH00251,O00251,Delivered,2026-05-17T01:00:00+09:00
SH00252,O00252,Delivered,2026-06-24T12:00:00+09:00
