ticket_id,customer_id,order_id,ticket_type,ticket_reason,created_at
T00001,C00001,O00001,Shipping,NoTrackingUpdate,2026-06-13T09:00:00+09:00
T00002,C00003,O00004,Complaint,NotAsDescribed,2026-06-11T11:00:00+09:00
T00003,C00005,O00008,Shipping,NoTrackingUpdate,2026-06-15T12:00:00+09:00
T00004,C00006,O00009,Inquiry,GeneralQuestion,2026-07-08T06:00:00+09:00
T00005,C00007,O00010,Complaint,,2026-05-31T00:00:00+09:00
T00006,C00007,O00010,Payment,PaymentFailed,2026-05-31T12:00:00+09:00
T00007,C00007,O00010,Return,SizeIssue,2026-06-07T12:00:00+09:00
T00008,C00008,O00012,Complaint,NotAsDescribed,2026-06-10T03:00:00+09:00
T00009,C00011,O00017,Return,SizeIssue,2026-06-19T04:00:00+09:00
T00010,C00012,O00018,Inquiry,GeneralQuestion,2026-05-27T06:00:00+09:00
T00011,C00013,O00021,Complaint,LateDelivery,2026-06-20T01:00:00+09:00
T00012,C00013,O00021,Inquiry,GeneralQuestion,2026-06-30T07:00:00+09:00
T00013,C00014,O00023,Return,SizeIssue,2026-06-11T11:00:00+09:00
T00014,C00015,O00024,Shipping,NoTrackingUpdate,2026-05-05T03:00:00+09:00
T00015,C00017,O00027,Complaint,NotAsDescribed,2026-06-10T02:00:00+09:00
T00016,C00017,O00027,Return,SizeIssue,2026-06-06T05:00:00+09:00
T00017,C00019,O00031,Payment,PaymentFailed,2026-05-27T09:00:00+09:00
T00018,C00020,O00032,Complaint,NotAsDescribed,2026-05-31T09:00:00+09:00
T00019,C00020,O00032,Return,SizeIssue,2026-05-26T06:00:00+09:00
T00020,C00022,O00036,Payment,PaymentFailed,2026-05-11T06:00:00+09:00
T00021,C00022,O00036,Inquiry,GeneralQuestion,2026-05-16T09:00:00+09:00
T00022,C00023,O00037,Complaint,LateDelivery,2026-06-30T10:00:00+09:00
T00023,C00024,O00038,Return,NotAsDescribed,2026-05-19T07:00:00+09:00
T00024,C00025,O00041,Shipping,LateDelivery,2026-06-02T02:00:00+09:00
T00025,C00025,O00041,Inquiry,GeneralQuestion,2026-06-03T10:00:00+09:00
T00026,C00026,O00042,Complaint,LateDelivery,2026-06-22T05:00:00+09:00
T00027,C00027,O00044,Complaint,LateDelivery,2026-05-29T10:00:00+09:00
T00028,C00027,O00044,Inquiry,GeneralQuestion,2026-06-03T07:00:00+09:00
